ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
MSFT,2014-07-31,2011Q2,2011-06-30
MSFT,2015-10-27,2012Q2,2012-06-30
MSFT,2016-07-28,2013Q2,2013-06-30
MSFT,2017-08-02,2014Q2,2014-06-30
MSFT,2018-08-03,2015Q2,2015-06-30
MSFT,2019-08-01,2016Q2,2016-06-30
MSFT,2020-07-30,2017Q2,2017-06-30
MSFT,2021-07-29,2018Q2,2018-06-30
MSFT,2022-07-28,2019Q2,2019-06-30
MSFT,2023-07-27,2020Q2,2020-06-30
NEE,2015-02-20,2010Q4,2010-12-31
NEE,2016-02-22,2011Q4,2011-12-31
NEE,2016-02-22,2014Q1,2014-03-31
NEE,2016-02-22,2014Q2,2014-06-30
NEE,2016-02-22,2014Q3,2014-09-30
NEE,2017-02-23,2012Q4,2012-12-31
NEE,2017-02-23,2013Q4,2013-12-31
NEE,2017-02-23,2015Q1,2015-03-31
NEE,2017-02-23,2015Q2,2015-06-30
NEE,2017-02-23,2015Q3,2015-09-30
NEE,2018-02-16,2014Q4,2014-12-31
NEE,2018-02-16,2016Q1,2016-03-31
NEE,2018-02-16,2016Q2,2016-06-30
NEE,2018-02-16,2016Q3,2016-09-30
NEE,2019-02-15,2015Q4,2015-12-31
NEE,2019-02-15,2017Q1,2017-03-31
NEE,2019-02-15,2017Q2,2017-06-30
NEE,2019-02-15,2017Q3,2017-09-30
NEE,2020-02-14,2016Q4,2016-12-31
NEE,2020-02-14,2018Q1,2018-03-31
NEE,2020-02-14,2018Q2,2018-06-30
NEE,2020-02-14,2018Q3,2018-09-30
NEE,2020-10-23,2019Q1,2019-03-31
NEE,2020-10-23,2019Q2,2019-06-30
NEE,2020-10-23,2019Q3,2019-09-30
NEE,2021-02-12,2017Q4,2017-12-31
NEE,2021-07-26,2020Q1,2020-03-31
NEE,2021-10-25,2020Q2,2020-06-30
NEE,2021-10-25,2020Q3,2020-09-30
NEE,2022-02-18,2018Q4,2018-12-31
NEE,2022-07-27,2021Q1,2021-03-31
NEE,2022-11-03,2021Q2,2021-06-30
NEE,2022-11-03,2021Q3,2021-09-30
NEE,2023-02-17,2019Q4,2019-12-31
NEE,2023-07-26,2022Q1,2022-03-31
NEE,2023-11-07,2022Q2,2022-06-30
NEE,2023-11-07,2022Q3,2022-09-30
NVDA,2016-03-17,2014Q2,2014-04-27
NVDA,2016-03-17,2014Q3,2014-07-27
NVDA,2016-03-17,2014Q4,2014-10-26
NVDA,2017-03-01,2015Q2,2015-04-26
NVDA,2017-03-01,2015Q3,2015-07-26
NVDA,2017-03-01,2015Q4,2015-10-25
NVDA,2018-02-28,2016Q4,2016-10-30
NVDA,2019-02-21,2017Q2,2017-04-30
NVDA,2019-02-21,2017Q3,2017-07-30
NVDA,2019-02-21,2017Q4,2017-10-29
NVDA,2020-02-20,2018Q2,2018-04-29
NVDA,2020-02-20,2018Q3,2018-07-29
NVDA,2020-02-20,2018Q4,2018-10-28
NVDA,2020-08-19,2019Q2,2019-04-28
NVDA,2020-11-18,2019Q3,2019-07-28
